Cascade controller:
  Inner: K_q=0.6769 (>0 ✓)  K_i=0.1115  B0=3  poles=[0.606530659712633, 0.7165313105737898]
  Outer: K_il=0.00014631 (>0 ✓)  tau_out=20.0s  beta_q=333.3333333333333 ms/req
  L_target=400 ms

vLLM healthy at http://localhost:8001

════════════════════════════════════════════════════════════════════════
CASCADE RUN  290 ticks  dt=1.0s
   30t  λ=3  L_target=400ms  [Steady]
   90t  λ=6  L_target=400ms  [λ↑ Spike (90t)]
   40t  λ=3  L_target=400ms  [Recovery]
   30t  λ=1  L_target=400ms  [λ↓ Drop]
   30t  λ=3  L_target=400ms  [Recovery]
   40t  λ=3  L_target=250ms  [Target↓ (250ms)]
   30t  λ=3  L_target=400ms  [Target restore]
════════════════════════════════════════════════════════════════════════

 tick   λ  L_tgt  q_sw  q_ref   B   l_tot     e_l    e_q  label
------------------------------------------------------------------------
    1   3    400     4    0.0   6   400.0     0.0   -4.0  Steady
    2   3    400     2    0.0   5   328.5    71.5   -2.0  Steady
    3   3    400     1    0.0   4    56.9   343.1   -1.0  Steady
    4   3    400     6    0.1   8    57.1   342.9   -5.9  Steady
    5   3    400     1    0.1   4   164.4   235.6   -0.9  Steady
    6   3    400     3    0.1   6    50.9   349.1   -2.9  Steady
    7   3    400     5    0.2   7   100.1   299.9   -4.8  Steady
    8   3    400     2    0.2   6   159.4   240.6   -1.8  Steady
    9   3    400     3    0.3   7    78.5   321.5   -2.7  Steady
   10   3    400     3    0.3   7   101.8   298.2   -2.7  Steady
   11   3    400     3    0.4   7    92.5   307.5   -2.6  Steady
   12   3    400     2    0.4   7   116.1   283.9   -1.6  Steady
   13   3    400     4    0.5   8    65.0   335.0   -3.5  Steady
   14   3    400     3    0.5   8   134.6   265.4   -2.5  Steady
   15   3    400     2    0.5   7    88.9   311.1   -1.5  Steady
   16   3    400     3    0.6   8    82.0   318.0   -2.4  Steady
   17   3    400     0    0.6   6    83.4   316.6    0.6  Steady
   18   3    400     2    0.7   7   400.0     0.0   -1.3  Steady
   19   3    400     5    0.7   8    98.5   301.5   -4.3  Steady
   20   3    400     3    0.7   8   143.8   256.2   -2.3  Steady
   21   3    400     3    0.8   8   109.8   290.2   -2.2  Steady
   22   3    400     4    0.8   8   100.5   299.5   -3.2  Steady
   23   3    400     5    0.8   8   131.8   268.2   -4.2  Steady
   24   3    400     3    0.9   8   150.4   249.6   -2.1  Steady
   25   3    400     5    0.9   8   106.3   293.7   -4.1  Steady
   26   3    400     2    1.0   7   156.6   243.4   -1.0  Steady
   27   3    400     3    1.0   8    67.4   332.6   -2.0  Steady
   28   3    400     3    1.0   8   101.5   298.5   -2.0  Steady
   29   3    400     2    1.1   7   112.0   288.0   -0.9  Steady
   30   3    400     4    1.1   8    60.1   339.9   -2.9  Steady
